Gene_A,Gene_B
JUN,PHF21A
L3MBTL3,PHF21A
MAX,PHF21A
ARID5A,PIN1
BCL11A,PIN1
CENPB,PIN1
DEAF1,PIN1
E2F4,PIN1
ETV6,PIN1
FOS,PIN1
FOSL1,PIN1
FOXI1,PIN1
FOXN1,PIN1
FOXP2,PIN1
GLI1,PIN1
GMEB2,PIN1
HOMEZ,PIN1
HOXA1,PIN1
IKZF1,PIN1
IKZF3,PIN1
IRF3,PIN1
JUN,PIN1
KMT2B,PIN1
MEOX1,PIN1
MEOX2,PIN1
MYC,PIN1
MYF5,PIN1
NCOA3,PIN1
NEUROD4,PIN1
NR4A3,PIN1
PAX6,PIN1
PBX1,PIN1
AKAP8L,PITX1
ARID5A,PITX1
CDX4,PITX1
GATA1,PITX1
HOXA1,PITX1
HSF4,PITX1
MSX2,PITX1
FOXC2,PITX2
HEY1,PITX2
HOXA1,PITX2
KLF11,PKNOX1
PBX1,PKNOX1
PBX2,PKNOX1
PBX4,PKNOX1
CREBL2,PKNOX2
LMX1B,PKNOX2
MBD3,PKNOX2
PBX1,PKNOX2
PBX4,PKNOX2
ARID5A,PLAGL2
OLIG3,PLAGL2
PAX9,PLAGL2
PIN1,PLAGL2
ARNT2,PLSCR1
BCL6B,PLSCR1
DMRT3,PLSCR1
ESR2,PLSCR1
HEY2,PLSCR1
HOXA1,PLSCR1
HOXA9,PLSCR1
HOXB6,PLSCR1
PITX1,PLSCR1
ARID5A,POU1F1
GATA2,POU1F1
LHX4,POU1F1
MSX2,POU1F1
PITX1,POU1F1
FOXD2,POU2AF1
GATA2,POU2AF1
HOXC8,POU2AF1
HOXC9,POU2AF1
MEIS2,POU2AF1
MSX2,POU2AF1
OTX1,POU2AF1
PAX8,POU2AF1
PITX2,POU2AF1
CEBPE,POU2F1
CREM,POU2F1
FOXC1,POU2F1
FOXC2,POU2F1
FOXS1,POU2F1
HIVEP1,POU2F1
HMGA1,POU2F1
HOXB13,POU2F1
HOXC9,POU2F1
IRF9,POU2F1
NFYA,POU2F1
NR3C1,POU2F1
POU2AF1,POU2F1
FOXC2,POU2F2
FOXJ2,POU2F2
FOXS1,POU2F2
HMGA1,POU2F2
MSX2,POU2F2
NR3C1,POU2F2
POU2AF1,POU2F2
ESR1,POU4F1
DLX3,POU4F2
ESR1,POU4F2
LHX2,POU4F2
NOTO,POU4F2
MBD3,POU5F1
BHLHE40,POU6F2
EBF1,POU6F2
FOSB,POU6F2
GCM2,POU6F2
