Gene_A,Gene_B
ACADVL,CKAP5
ACADVL,CYP1A1
ACADVL,ECSIT
ACADVL,ECT2
ACADVL,ELK4
ACADVL,GPHN
ACADVL,HIBCH
ACADVL,HMGCL
ACADVL,KIF14
ACADVL,KIF23
ACADVL,MRM1
ACADVL,NDUFA4
ACADVL,NMES1
ACADVL,OXLD1
ACADVL,PPA2
ACADVL,RASA1
ACADVL,RPSA
ACADVL,SOCS3
ACADVL,SURF1
ACADVL,TAF1B
ACADVL,UBC
ACAP1,ABL1
ACAP1,B4DQQ1
ACAP1,FCHSD2
ACAP1,GRB2
ACAP1,KAT5
ACAP1,NCK1
ACAP1,NEBL
ACAP1,PRKCA
ACAP1,Q9NWP4
ACAP1,RABGAP1L
ACAP1,SETDB1
ACAP1,SH3RF1
ACAP1,SRC
ACAP1,UQCRB
ACAP1,UQCRC2
ACAP1,YWHAG
ACAP2,EHBP1
ACAP2,ELK4
ACAT1,AGXT
ACAT1,ARHGAP24
ACAT1,ARHGAP36
ACAT1,GH1
ACAT1,HLA-B
ACAT1,HLA-C
ACAT1,KIF14
ACAT1,MCC
ACAT1,METTL3
ACAT1,MPG
ACAT1,PDHA1
ACAT1,TNIK
ACAT1,VIRMA
ACAT2,ACAT1
ACAT2,AKT1
ACAT2,CCNA1
ACAT2,EIF1B
ACAT2,HLA-B
ACAT2,MCC
ACAT2,MLST8
ACAT2,PRKAB1
ACAT2,TERF1
ACAT2,TNIK
ACAT2,TRAF6
ACAT2,TRAPPC8
ACAT2,UBC
ACAT2,VDAC1
ACAT2,WWOX
ACBD3,EVC2
ACBD3,KIF14
ACBD3,TMEM216
ACBD4,KLK6
ACBD5,GRM2
ACBD5,KIF14
ACBD5,MASTL
ACBD5,MMGT1
ACBD5,MYO5C
ACBD5,PRPF4
ACBD5,TMEM229B
ACCS,A6NLR5
ACCS,ANLN
ACCS,AURKB
ACCS,ECT2
ACCS,FBF1
ACCS,KIF23
ACCS,UQCRB
ACD,ADPRH
ACD,AFAP1L2
ACD,AIPL1
ACD,ANKMY2
ACD,ANXA8
ACD,ANXA8L1
ACD,APOBEC3F
ACD,BAG3
ACD,CKB
ACD,CUL5
ACD,DBN1
ACD,DBNL
ACD,DMWD
ACD,DPYSL3
ACD,EIF3G
ACD,EIF4B
ACD,ENO2
ACD,ENSA
ACD,FAM131B
ACD,IVL
ACD,LDHA
ACD,LGALSL
ACD,LLGL1
ACD,LRRC25
ACD,NTAQ1
ACD,NUDCD2
ACD,PAGE2
ACD,PDLIM2
ACD,PEX5
ACD,PGM2
ACD,POT1
ACD,RBKS
ACD,RECQL4
ACD,RGS3
ACD,RPSA
ACD,SBDS
